IP,Severity,MITRE,Reportes,Primer visto,Expira en,País
213.250.132.57,HIGH,Command and Control · TA0011 · T1071,915,2026-06-25,2026-07-19,TR
57.144.233.33,HIGH,Command and Control · TA0011 · T1071,916,2026-06-25,2026-07-19,BR
162.159.207.0,HIGH,Command and Control · TA0011 · T1071,916,2026-06-25,2026-07-19,US
74.125.250.129,HIGH,Command and Control · TA0011 · T1071,915,2026-06-25,2026-07-19,US
79.127.159.187,HIGH,Command and Control · TA0011 · T1071,915,2026-06-25,2026-07-19,JP
103.195.103.66,HIGH,Command and Control · TA0011 · T1071,915,2026-06-25,2026-07-19,US
207.90.244.3,HIGH,Initial Access · T1566 · T1566,1204,2026-05-22,2026-08-04,US
182.117.92.116,HIGH,Initial Access · T1190 · T1190,629,2026-07-09,2026-08-01,CN
172.233.21.217,HIGH,Initial Access · T1566 · T1566,1310,2026-06-24,2026-08-01,BR
136.143.188.130,HIGH,Privilege Escalation · TA0005 · T1078,840,2026-06-27,2026-07-20,US
104.155.59.11,HIGH,Initial Access · T1566 · T1566,537,2026-07-12,2026-08-03,BE
207.175.72.63,HIGH,Initial Access · T1566 · T1566,537,2026-07-12,2026-08-03,BE
104.199.9.53,HIGH,Initial Access · T1566 · T1566,735,2026-07-09,2026-08-01,BE
207.175.29.211,HIGH,Initial Access · T1566 · T1566,735,2026-07-09,2026-08-01,BE
34.62.178.94,MANUAL,"Manual: Watchlist desde caso 65bf9fec (MEDIUM, Initial Access)",587,2026-06-28,2026-07-21,BE
34.76.12.215,MANUAL,"Manual: Watchlist desde caso eb8adb2d (MEDIUM, Initial Access)",587,2026-06-28,2026-07-21,BE
35.203.211.218,MANUAL,"Manual: Watchlist desde caso 10584c49 (MEDIUM, Initial Access)",587,2026-06-28,2026-07-21,GB
207.175.4.70,HIGH,Initial Access · T1566 · T1566,875,2026-06-28,2026-07-22,BE
34.38.164.79,HIGH,Initial Access · T1566 · T1566,874,2026-06-28,2026-07-22,BE
34.78.232.140,HIGH,Initial Access · T1566 · T1566,587,2026-06-28,2026-07-21,BE
103.141.5.137,HIGH,Initial Access · T1190 · T1190,840,2026-06-27,2026-07-20,PK
